31-Aug-05,"$47,167"
7-Sep-05,"$58,333"
14-Sep-05,"$58,333"
21-Sep-05,"$58,333"
28-Sep-05,"$47,167"
5-Oct-05,"$45,833"
12-Oct-05,"$50,833"
19-Oct-05,"$50,833"
26-Oct-05,"$49,333"
2-Nov-05,"$44,167"
9-Nov-05,"$42,500"
16-Nov-05,"$42,500"
23-Nov-05,"$31,667"
30-Nov-05,"$35,833"
7-Dec-05,"$38,333"
14-Dec-05,"$38,333"
21-Dec-05,"$42,333"
28-Dec-05,#N/A
4-Jan-06,"$42,333"
11-Jan-06,"$46,000"
18-Jan-06,"$48,333"
25-Jan-06,"$50,000"
1-Feb-06,"$53,333"
8-Feb-06,"$53,333"
15-Feb-06,"$53,333"
22-Feb-06,"$37,333"
1-Mar-06,"$35,833"
8-Mar-06,"$35,333"
15-Mar-06,"$36,000"
22-Mar-06,"$36,667"
29-Mar-06,"$44,000"
5-Apr-06,"$44,000"
12-Apr-06,#N/A
19-Apr-06,"$45,000"
26-Apr-06,"$45,000"
3-May-06,"$55,833"
10-May-06,"$55,833"
17-May-06,"$55,833"
24-May-06,"$51,000"
31-May-06,"$55,167"
7-Jun-06,"$57,333"
14-Jun-06,"$62,333"
21-Jun-06,"$62,333"
28-Jun-06,"$62,333"
5-Jul-06,"$59,667"
12-Jul-06,"$63,167"
19-Jul-06,"$63,167"
26-Jul-06,"$63,167"
2-Aug-06,"$63,000"
9-Aug-06,"$58,333"
16-Aug-06,"$57,500"
23-Aug-06,"$56,667"
30-Aug-06,"$48,000"
6-Sep-06,"$48,000"
13-Sep-06,"$42,167"
20-Sep-06,"$42,167"
27-Sep-06,"$37,333"
4-Oct-06,"$28,333"
11-Oct-06,"$24,500"
18-Oct-06,"$24,500"
25-Oct-06,"$26,500"
1-Nov-06,"$28,667"
8-Nov-06,"$29,667"
15-Nov-06,"$30,500"
22-Nov-06,"$34,000"
29-Nov-06,"$34,000"
6-Dec-06,"$21,500"
13-Dec-06,"$20,667"
20-Dec-06,"$20,667"
27-Dec-06,"$20,667"
3-Jan-07,"$21,167"
10-Jan-07,"$20,000"
17-Jan-07,"$20,000"
24-Jan-07,"$12,333"
31-Jan-07,"$12,333"
7-Feb-07,"$12,333"
14-Feb-07,"$12,833"
21-Feb-07,"$13,000"
28-Feb-07,"$13,667"
7-Mar-07,"$15,167"
14-Mar-07,"$18,333"
21-Mar-07,"$20,833"
28-Mar-07,"$20,000"
4-Apr-07,"$20,500"
11-Apr-07,"$20,500"
18-Apr-07,"$21,333"
25-Apr-07,"$25,833"
2-May-07,"$25,833"
9-May-07,"$25,833"
16-May-07,"$25,833"
23-May-07,"$28,500"
30-May-07,"$30,000"
6-Jun-07,"$30,000"
13-Jun-07,"$28,500"
20-Jun-07,"$28,500"
27-Jun-07,"$28,500"
4-Jul-07,"$28,500"
11-Jul-07,"$28,500"
18-Jul-07,"$34,000"
25-Jul-07,"$36,667"
1-Aug-07,"$28,333"
8-Aug-07,"$33,000"
15-Aug-07,"$37,167"
22-Aug-07,"$35,333"
29-Aug-07,"$38,000"
5-Sep-07,"$47,333"
12-Sep-07,"$47,333"
19-Sep-07,"$47,333"
26-Sep-07,"$47,333"
3-Oct-07,"$47,333"
10-Oct-07,"$26,833"
17-Oct-07,"$23,667"
24-Oct-07,"$27,167"
31-Oct-07,"$29,833"
7-Nov-07,"$39,667"
14-Nov-07,"$47,000"
21-Nov-07,"$43,833"
28-Nov-07,"$35,667"
5-Dec-07,"$35,333"
12-Dec-07,"$42,217"
19-Dec-07,"$36,500"
26-Dec-07,#N/A
2-Jan-08,"$35,000"
9-Jan-08,#N/A
16-Jan-08,"$13,667"
23-Jan-08,"$16,167"
30-Jan-08,"$16,833"
6-Feb-08,"$16,833"
13-Feb-08,"$21,167"
20-Feb-08,"$8,333"
27-Feb-08,"$7,133"
5-Mar-08,"$6,500"
12-Mar-08,"$5,333"
19-Mar-08,"$9,000"
26-Mar-08,"$15,500"
2-Apr-08,"$18,500"
9-Apr-08,"$18,667"
16-Apr-08,"$22,167"
23-Apr-08,"$25,167"
30-Apr-08,"$25,167"
7-May-08,"$24,833"
14-May-08,"$30,333"
21-May-08,"$35,333"
28-May-08,"$51,000"
4-Jun-08,"$51,333"
11-Jun-08,"$30,167"
18-Jun-08,"$38,667"
25-Jun-08,"$38,667"
2-Jul-08,"$42,667"
9-Jul-08,"$44,667"
16-Jul-08,"$61,667"
23-Jul-08,"$64,500"
30-Jul-08,"$65,500"
6-Aug-08,"$57,167"
13-Aug-08,"$47,667"
20-Aug-08,"$53,500"
27-Aug-08,"$46,500"
3-Sep-08,"$46,500"
10-Sep-08,"$31,667"
17-Sep-08,"$31,667"
24-Sep-08,"$8,333"
1-Oct-08,"$7,167"
8-Oct-08,"$14,000"
15-Oct-08,"$8,167"
22-Oct-08,"$7,000"
29-Oct-08,"$10,167"
5-Nov-08,"$12,667"
12-Nov-08,"$9,167"
19-Nov-08,"$10,500"
26-Nov-08,"$11,000"
3-Dec-08,"$10,000"
10-Dec-08,"$9,333"
17-Dec-08,"$8,000"
24-Dec-08,"$8,000"
31-Dec-08,"$8,000"
7-Jan-09,"$6,167"
14-Jan-09,"$6,667"
21-Jan-09,"$6,000"
28-Jan-09,#N/A
4-Feb-09,"$6,000"
11-Feb-09,"$6,000"
18-Feb-09,"$6,000"
25-Feb-09,"$6,000"
4-Mar-09,"$6,000"
