2015-Jan-02,60.00,320,16.17," 4,285,050 "," 155,000 "," 1,041,135 "," 1,196,135 "," 2,981,789.13 "," 58,704 ",74227," 15,523 ",26.4%,16.17,2.16,55.38,3.9%,,,,,
2015-Jan-05,60.00,305,16.17," 4,285,050 "," 155,000 "," 992,331 "," 1,147,331 "," 3,030,592.32 "," 59,665 ",74227," 14,562 ",24.4%,16.17,2.16,51.08,4.2%,,,,,
2015-Jan-06,64.00,300,17.25," 4,570,720 "," 155,000 "," 976,064 "," 1,131,064 "," 3,325,388.30 "," 65,469 ",74227," 8,758 ",13.4%,17.25,2.30,50.12,4.6%,,,,,
2015-Jan-07,67.00,295,18.06," 4,784,973 "," 155,000 "," 959,796 "," 1,114,796 "," 3,550,552.21 "," 69,902 ",74227," 4,325 ",6.2%,18.06,2.41,49.06,4.9%,,,,,
2015-Jan-08,69.00,290,18.60," 4,927,808 "," 155,000 "," 943,528 "," 1,098,528 "," 3,706,084.07 "," 72,964 ",74227," 1,263 ",1.7%,18.60,2.48,49.43,5.0%,,,,,
2015-Jan-09,70.00,285,18.87," 4,999,225 "," 155,000 "," 927,261 "," 1,082,261 "," 3,791,983.86 "," 74,655 ",74227, (428),-0.6%,18.87,2.52,47.64,5.3%,,,,,
2015-Jan-12,70.00,285,18.87," 4,999,225 "," 155,000 "," 927,261 "," 1,082,261 "," 3,791,983.86 "," 74,655 ",74227, (428),-0.6%,18.87,2.52,46.9,5.4%,,,,,
2015-Jan-13,71.00,285,19.13," 5,070,643 "," 155,000 "," 927,261 "," 1,082,261 "," 3,861,615.92 "," 76,026 ",74227," (1,799)",-2.4%,19.13,2.55,45.13,5.7%,,,,,
2015-Jan-14,70.00,285,18.87," 4,999,225 "," 155,000 "," 927,261 "," 1,082,261 "," 3,791,983.86 "," 74,655 ",74227, (428),-0.6%,18.87,2.52,45.82,5.5%,,,,,
2015-Jan-15,70.00,285,18.87," 4,999,225 "," 155,000 "," 927,261 "," 1,082,261 "," 3,791,983.86 "," 74,655 ",74227, (428),-0.6%,18.87,2.52,47.66,5.3%,,,,,
2015-Jan-16,70.00,285,18.87," 4,999,225 "," 155,000 "," 927,261 "," 1,082,261 "," 3,791,983.86 "," 74,655 ",74227, (428),-0.6%,18.87,2.52,47.38,5.3%,,,,,
2015-Jan-19,70.00,290,18.87," 4,999,225 "," 155,000 "," 943,528 "," 1,098,528 "," 3,775,716.13 "," 74,335 ",74227, (108),-0.1%,18.87,2.52,47.38,5.3%,,,,,
2015-Jan-20,70.00,292,18.87," 4,999,225 "," 155,000 "," 950,035 "," 1,105,035 "," 3,769,209.04 "," 74,207 ",74227, 20 ,0.0%,18.87,2.52,46.49,5.4%,,,,,
2015-Jan-21,70.00,292,18.87," 4,999,225 "," 155,000 "," 950,035 "," 1,105,035 "," 3,769,209.04 "," 74,207 ",74227, 20 ,0.0%,18.87,2.52,46.5,5.4%,,,,,
2015-Jan-22,69.00,289,18.60," 4,927,808 "," 155,000 "," 940,275 "," 1,095,275 "," 3,709,337.61 "," 73,028 ",74227," 1,199 ",1.6%,18.60,2.48,46.09,5.4%,,,,,
2015-Jan-23,69.00,284,18.60," 4,927,808 "," 155,000 "," 924,007 "," 1,079,007 "," 3,725,605.34 "," 73,348 ",74227, 879 ,1.2%,18.60,2.48,46.69,5.3%,,,,,
2015-Jan-26,69.00,277,18.60," 4,927,808 "," 155,000 "," 901,232 "," 1,056,232 "," 3,748,380.16 "," 73,797 ",74227, 430 ,0.6%,18.60,2.48,46.07,5.4%,,,,,
2015-Jan-27,68.00,275,18.33," 4,856,390 "," 155,000 "," 894,725 "," 1,049,725 "," 3,685,255.19 "," 72,554 ",74227," 1,673 ",2.3%,18.33,2.44,46.55,5.2%,,,,,
2015-Jan-28,67.00,280,18.06," 4,784,973 "," 155,000 "," 910,993 "," 1,065,993 "," 3,599,355.40 "," 70,863 ",74227," 3,364 ",4.7%,18.06,2.41,47.07,5.1%,,,,,
2015-Jan-29,66.00,290,17.79," 4,713,555 "," 155,000 "," 943,528 "," 1,098,528 "," 3,497,187.88 "," 68,851 ",74227," 5,376 ",7.8%,17.79,2.37,46.61,5.1%,,,,,
2015-Jan-30,62.00,305,16.71," 4,427,885 "," 155,000 "," 992,331 "," 1,147,331 "," 3,169,856.44 "," 62,407 ",74227," 11,820 ",18.9%,16.71,2.23,47.52,4.7%,,,,,
2015-Feb-02,61.00,315,16.44," 4,356,468 "," 155,000 "," 1,024,867 "," 1,179,867 "," 3,067,688.93 "," 60,396 ",56456.5," (3,939)",-6.5%,16.44,2.19,51.74,4.2%,,,,,
2015-Feb-03,55.00,332,14.82," 3,927,963 "," 155,000 "," 1,080,177 "," 1,235,177 "," 2,594,586.27 "," 51,081 ",56456.5," 5,375 ",10.5%,14.82,1.98,54.41,3.6%,,,,,
2015-Feb-04,53.00,332,14.28," 3,785,128 "," 155,000 "," 1,080,177 "," 1,235,177 "," 2,455,322.15 "," 48,340 ",56456.5," 8,117 ",16.8%,14.28,1.90,55.07,3.5%,,,,,
2015-Feb-05,57.00,335,15.36," 4,070,798 "," 155,000 "," 1,089,938 "," 1,244,938 "," 2,724,089.76 "," 53,631 ",56456.5," 2,826 ",5.3%,15.36,2.05,55.98,3.7%,,,,,
2015-Feb-06,61.00,336,16.44," 4,356,468 "," 155,000 "," 1,093,191 "," 1,248,191 "," 2,999,364.47 "," 59,050 ",56456.5," (2,594)",-4.4%,16.44,2.19,55.88,3.9%,,,,,
